Zone code,Zone ID,ProcessName,CF_Class,2015,2020,2025,2030,2035,2040,2045,2050
TWN.North,TWNZ2,COA_IGCC_CCS,0,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,GAS_OCGT,0,5268,5268,5268,5268,3953,11673,10834,10834
TWN.North,TWNZ2,GAS_CCGT,0,4680,4680,4680,4680,4380,0,0,0
TWN.North,TWNZ2,GAS_CC_CCS,0,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,OIL_ST,0,2621,2621,2621,0,0,0,0,0
TWN.North,TWNZ2,NUK_LWR,0,3312,3312,0,0,0,0,0,0
TWN.North,TWNZ2,HYD_LG,0,200,504,504,504,504,504,504,504
TWN.North,TWNZ2,HYD_SM,0,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,HYD_PS,0,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,WND_ON,1,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,WND_ON,2,0,0,254,254,254,254,254,254
TWN.North,TWNZ2,WND_ON,3,0,239,239,239,239,239,239,239
TWN.North,TWNZ2,WND_ON,4,0,243,243,243,243,243,243,243
TWN.North,TWNZ2,WND_ON,5,0,302,302,302,302,302,302,302
TWN.North,TWNZ2,WND_ON,6,122,326,326,326,326,326,326,326
TWN.North,TWNZ2,PV_FT,3,390,390,842,842,842,842,842,842
TWN.North,TWNZ2,PV_TK,2,0,0,0,0,251,251,251,251
TWN.North,TWNZ2,PV_TK,3,0,0,182,949,949,949,949,949
TWN.North,TWNZ2,PV_Dist,0,0,0,368,821,1359,2488,2488,2488
TWN.North,TWNZ2,BIO_ST,0,191,191,191,191,191,0,0,0
TWN.North,TWNZ2,BIGCC_CCS,0,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST1,0,0,50,335,705,874,1384,1531,1313
TWN.North,TWNZ2,BESS_ST4,0,0,0,0,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST8,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_SUB,0,3287,3287,3287,2523,2523,885,0,0
TWN.South,TWNZ3,COA_SC,0,6400,6400,6400,0,0,0,0,0
TWN.South,TWNZ3,COA_USC,0,0,0,100,6599,8231,9318,9318,9318
TWN.South,TWNZ3,COA_IGCC,0,0,0,0,0,0,0,2851,4646
TWN.South,TWNZ3,COA_SC_CCS,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_OXY_CCS,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_IGCC_CCS,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_OCGT,0,3273,3273,3273,3273,4810,7149,6027,6027
TWN.South,TWNZ3,GAS_CCGT,0,4430,4430,1220,1220,670,0,0,0
TWN.South,TWNZ3,GAS_CC_CCS,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,OIL_ST,0,386,386,386,0,0,0,0,0
TWN.South,TWNZ3,NUK_LWR,0,1902,1902,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_LG,0,200,342,342,342,342,342,1362,1524
TWN.South,TWNZ3,HYD_SM,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_PS,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,WND_ON,1,0,0,0,0,0,0,50,100
TWN.South,TWNZ3,WND_ON,2,0,0,0,0,0,117,117,117
TWN.South,TWNZ3,WND_ON,3,0,0,73,73,73,73,73,73
TWN.South,TWNZ3,WND_ON,4,0,50,50,50,50,50,50,50
TWN.South,TWNZ3,WND_ON,6,67,117,117,117,117,102,102,102
TWN.South,TWNZ3,WND_ON,7,0,60,60,60,60,60,60,60
TWN.South,TWNZ3,WND_ON,9,0,62,62,62,62,62,62,62
TWN.South,TWNZ3,PV_FT,4,242,242,4074,4074,4074,4074,4074,4074
TWN.South,TWNZ3,PV_TK,4,0,0,6176,6176,6176,6176,6176,6176
TWN.South,TWNZ3,PV_Dist,0,0,0,430,2903,2903,2903,2903,2903
TWN.South,TWNZ3,GEO_hydro,0,0,90,90,90,90,90,90,90
TWN.South,TWNZ3,BIO_ST,0,118,118,118,118,118,109,109,109
TWN.South,TWNZ3,BIGCC_CCS,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST1,0,0,0,444,581,739,878,811,713
TWN.South,TWNZ3,BESS_ST4,0,0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BESS_ST8,0,0,0,0,0,0,0,0,0
TWN.OffRgn1,TWNZF0,WND_OFF_SH,5,0,0,0,0,0,0,0,50
TWN.OffRgn1,TWNZF0,WND_OFF_SH,6,0,0,0,0,0,101,193,260
TWN.OffRgn1,TWNZF0,WND_OFF_SH,7,0,0,50,231,460,590,590,590
TWN.OffRgn1,TWNZF0,WND_OFF_SH,8,150,150,230,230,230,230,230,230
TWN.OffRgn1,TWNZF0,WND_OFF_IN,6,0,0,0,0,0,0,0,0
TWN.OffRgn1,TWNZF0,WND_OFF_IN,7,0,0,0,0,0,555,787,1049
TWN.OffRgn1,TWNZF0,WND_OFF_IN,8,0,0,0,335,932,982,982,982
TWN.OffRgn1,TWNZF0,WND_OFF_IN,9,0,0,598,860,860,860,860,860
TWN.OffRgn1,TWNZF0,WND_OFF_DE,6,0,0,0,0,0,0,0,0
TWN.OffRgn1,TWNZF0,WND_OFF_DE,7,0,0,0,0,0,4064,5793,7696
TWN.OffRgn1,TWNZF0,WND_OFF_DE,8,0,0,0,1045,5369,5629,5629,5629
TWN.OffRgn1,TWNZF0,WND_OFF_DE,9,0,0,4323,7601,7601,7601,7601,7601
TWN.OffRgn2,TWNZF1,WND_OFF_SH,6,0,0,0,0,0,0,0,0
TWN.OffRgn2,TWNZF1,WND_OFF_SH,7,0,0,0,0,0,0,0,0
TWN.OffRgn2,TWNZF1,WND_OFF_SH,8,0,0,518,1038,1557,2075,2282,2595
TWN.OffRgn2,TWNZF1,WND_OFF_IN,8,0,0,0,0,0,0,0,0
TWN.OffRgn2,TWNZF1,WND_OFF_IN,9,0,0,518,1037,1554,2073,2280,2508
TWN.OffRgn2,TWNZF1,WND_OFF_DE,9,0,0,0,0,0,0,0,0
TWN.OffRgn3,TWNZF2,WND_OFF_SH,4,0,0,0,0,50,100,100,150
TWN.OffRgn3,TWNZF2,WND_OFF_SH,5,0,0,51,103,153,153,153,152
TWN.OffRgn3,TWNZF2,WND_OFF_IN,4,0,0,0,0,0,0,50,50
TWN.OffRgn3,TWNZF2,WND_OFF_IN,5,0,0,62,123,184,246,296,284
TWN.OffRgn3,TWNZF2,WND_OFF_DE,5,0,0,0,253,560,868,991,1127
TWN.OffRgn3,TWNZF2,WND_OFF_DE,6,0,0,308,363,363,363,363,363
TWN.OffRgn4,TWNZF3,WND_OFF_SH,5,0,0,0,0,0,0,0,0
TWN.OffRgn4,TWNZF3,WND_OFF_SH,6,0,0,0,0,0,0,0,0
TWN.OffRgn4,TWNZF3,WND_OFF_SH,7,0,0,0,0,0,155,224,320
TWN.OffRgn4,TWNZF3,WND_OFF_SH,8,0,0,196,392,589,639,639,630
TWN.OffRgn4,TWNZF3,WND_OFF_IN,8,0,0,1152,2435,3718,5000,5513,6078
TWN.OffRgn4,TWNZF3,WND_OFF_IN,9,0,0,130,130,130,130,130,130
TWN.OffRgn4,TWNZF3,WND_OFF_DE,8,0,0,0,0,1089,2140,2577,3103
TWN.OffRgn4,TWNZF3,WND_OFF_DE,9,0,0,1094,2190,2240,2240,2240,2196
TWN.Central,TWNZ0,Transmission from:TWNZ0,To:TWNZ3,100,100,561,1080,1107,1107,1107,1107
TWN.Central,TWNZ0,Transmission from:TWNZ0,To:TWNZ2,1299,1854,2451,2451,2451,2451,2451,2451
TWN.Central,TWNZ0,Transmission from:TWNZ0,To:TWNZ1,135,135,135,135,135,239,239,239
TWN.East,TWNZ1,Transmission from:TWNZ1,To:TWNZ3,100,100,645,677,677,677,677,677
TWN.East,TWNZ1,Transmission from:TWNZ1,To:TWNZ0,100,100,100,1981,1981,1981,1981,1981
TWN.East,TWNZ1,Transmission from:TWNZ1,To:TWNZ2,100,100,475,475,475,475,475,475
TWN.North,TWNZ2,Transmission from:TWNZ2,To:TWNZ0,100,100,100,1043,1043,1043,1043,1061
TWN.North,TWNZ2,Transmission from:TWNZ2,To:TWNZ1,100,100,100,100,100,100,100,100
TWN.South,TWNZ3,Transmission from:TWNZ3,To:TWNZ0,100,100,100,1109,1109,1109,1109,1109
TWN.South,TWNZ3,Transmission from:TWNZ3,To:TWNZ1,706,706,706,706,706,706,706,706
TWN.OffRgn1,TWNZF0,Transmission from:TWNZF0,To:TWNZ2,100,103,3680,7367,10768,13797,14924,16161
TWN.OffRgn2,TWNZF1,Transmission from:TWNZF1,To:TWNZ0,0,0,778,1556,2333,3111,3421,3825
TWN.OffRgn3,TWNZF2,Transmission from:TWNZF2,To:TWNZ1,0,0,207,407,604,801,889,962
TWN.OffRgn4,TWNZF3,Transmission from:TWNZF3,To:TWNZ3,0,0,1792,3581,5337,7090,7790,8560
