ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
HYD_LG,Europe,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,United States,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,Japan,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,Russia,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,China,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,India,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,Middle East,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,Africa,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,Brazil,UnitCapacity,MW,50,50,50,50,50,50,50,50,50,50
HYD_LG,Europe,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,United States,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,Japan,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,Russia,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,China,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,India,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,Middle East,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,Africa,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,Brazil,Gross_Eff,,1,1,1,1,1,1,1,1,1,1
HYD_LG,Europe,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,United States,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,Japan,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,Russia,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,China,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,India,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,Middle East,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,Africa,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,Brazil,MinLoad,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
HYD_LG,Europe,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,United States,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,Japan,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,Russia,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,China,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,India,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,Middle East,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,Africa,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
HYD_LG,Brazil,RampRate,%P/Min,20,20,20,20,20,20,20,20,20,20
