ProcessName,RegionGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_SC,India,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Middle East,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Africa,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Brazil,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_SC,Europe,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,United States,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,Japan,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,Russia,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,China,Gross_Eff,,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
COA_SC,India,Gross_Eff,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
COA_SC,Middle East,Gross_Eff,,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
COA_SC,Africa,Gross_Eff,,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
COA_SC,Brazil,Gross_Eff,,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
COA_SC,Europe,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,United States,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Japan,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Russia,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,China,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,India,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Middle East,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Africa,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Brazil,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_SC,Europe,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,United States,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Japan,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Russia,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,China,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,India,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Middle East,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Africa,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Brazil,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_SC,Europe,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,United States,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Japan,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Russia,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,China,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,India,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Middle East,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Africa,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Brazil,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_SC,Europe,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,United States,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,Japan,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,Russia,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,China,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,India,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,Middle East,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,Africa,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_SC,Brazil,AuxiliaryCon,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
COA_USC,Europe,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,United States,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,Japan,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,Russia,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,China,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,India,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,Middle East,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,Africa,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,Brazil,UnitCapacity,MW,600,600,600,600,600,600,600,600,600,600
COA_USC,Europe,Gross_Eff,,0.45,0.46,0.465,0.47,0.47,0.47,0.47,0.47,0.47,0.47
COA_USC,United States,Gross_Eff,,0.45,0.46,0.465,0.47,0.47,0.47,0.47,0.47,0.47,0.47
COA_USC,Japan,Gross_Eff,,0.45,0.46,0.465,0.47,0.47,0.47,0.47,0.47,0.47,0.47
COA_USC,Russia,Gross_Eff,,0.45,0.46,0.465,0.47,0.47,0.47,0.47,0.47,0.47,0.47
COA_USC,China,Gross_Eff,,0.44,0.45,0.455,0.46,0.465,0.47,0.475,0.48,0.48,0.48
COA_USC,India,Gross_Eff,,0.4,0.41,0.415,0.42,0.425,0.43,0.435,0.44,0.44,0.44
COA_USC,Middle East,Gross_Eff,,0.43,0.44,0.445,0.45,0.45,0.45,0.45,0.45,0.45,0.45
COA_USC,Africa,Gross_Eff,,0.41,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.45,0.45
COA_USC,Brazil,Gross_Eff,,0.45,0.46,0.465,0.47,0.47,0.47,0.47,0.47,0.47,0.47
COA_USC,Europe,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,United States,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,Japan,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,Russia,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,China,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,India,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,Middle East,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,Africa,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,Brazil,MinLoad,,0.4,0.35,0.325,0.3,0.3,0.3,0.3,0.3,0.3,0.3
COA_USC,Europe,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,United States,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,Japan,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,Russia,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,China,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,India,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,Middle East,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,Africa,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,Brazil,RampRate,%P/Min,2,2.5,2.75,3,3,3,3,3,3,3
COA_USC,Europe,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,United States,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,Japan,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,Russia,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,China,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,India,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,Middle East,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
COA_USC,Africa,EquAvailFactor,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
