ProcessName,TechCostGroup,Parameters,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
COA_SC,Europe,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,United States,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,Japan,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,Russia,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,China,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,India,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,Middle East,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,Africa,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_SC,Brazil,Lifetime,year,40,40,40,40,40,40,40,40,40,40
COA_USC,Europe,CAPEX,USD/kW,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
COA_USC,United States,CAPEX,USD/kW,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
COA_USC,Japan,CAPEX,USD/kW,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
COA_USC,Russia,CAPEX,USD/kW,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
COA_USC,China,CAPEX,USD/kW,800,800,800,800,800,800,800,800,800,800
COA_USC,India,CAPEX,USD/kW,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
COA_USC,Middle East,CAPEX,USD/kW,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
COA_USC,Africa,CAPEX,USD/kW,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
COA_USC,Brazil,CAPEX,USD/kW,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
COA_USC,Europe,OPEX,USD/kW,65,65,65,65,65,65,65,65,65,65
COA_USC,United States,OPEX,USD/kW,70,70,70,70,70,70,70,70,70,70
COA_USC,Japan,OPEX,USD/kW,80,80,80,80,80,80,80,80,80,80
COA_USC,Russia,OPEX,USD/kW,65,65,65,65,65,65,65,65,65,65
COA_USC,China,OPEX,USD/kW,30,30,30,30,30,30,30,30,30,30
COA_USC,India,OPEX,USD/kW,55,55,55,55,55,55,55,55,55,55
COA_USC,Middle East,OPEX,USD/kW,65,65,65,65,65,65,65,65,65,65
COA_USC,Africa,OPEX,USD/kW,70,70,70,70,70,70,70,70,70,70
COA_USC,Brazil,OPEX,USD/kW,70,70,70,70,70,70,70,70,70,70
COA_USC,Europe,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,United States,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,Japan,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COA_USC,Russia,varOPEX,USD/kWh,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
