CostGroup,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
SDS,USD/tCO2e,0,10,43,70,98,125,152,180,180,180
NPS,USD/tCO2e,0,10,25,31,37,43,49,55,55,55
