Zone,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.Central,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.East,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.North,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.South,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn1,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn2,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn3,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.OffRgn4,TWN.Central,TWN.Central,TWN.Central,TWN.East,TWN.East,TWN.East,TWN.North,TWN.North,TWN.North,TWN.South,TWN.South,TWN.South,TWN.Central,TWN.East,TWN.North,TWN.South
Process,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,PV_Dist,PV_FT,PV_FT,PV_TK,PV_TK,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,PV_Dist,PV_FT,PV_FT,PV_TK,PV_TK,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,PV_Dist,PV_FT,PV_FT,PV_TK,PV_TK,PV_TK,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,WND_ON,PV_Dist,PV_FT,PV_FT,PV_TK,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,WND_OFF_SH,WND_OFF_IN,WND_OFF_DE,HYD_LG,HYD_SM,HYD_PS,HYD_LG,HYD_SM,HYD_PS,HYD_LG,HYD_SM,HYD_PS,HYD_LG,HYD_SM,HYD_PS,GEO_hydro,GEO_hydro,GEO_hydro,GEO_hydro
Class,1,2,3,4,5,,3,4,3,4,1,2,3,4,5,6,,2,3,2,3,1,2,3,4,5,6,,2,3,2,3,4,1,2,3,4,5,6,7,8,9,,3,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,6,6,6,7,7,7,8,8,8,9,9,9,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,,,,,,,,,,,,,,,,
Cap_Max,705,387,232,244,101,2249,2467,355,437,2389,2087,278,142,81,58,80,370,369,2012,92,2289,588,254,239,243,302,326,2488,401,842,251,949,42,1642,117,73,50,49,102,60,43,62,2903,2150,4074,6176,30,40,8490,75,140,15383,260,336,19866,590,1794,43735,230,975,5629,0,860,7601,2272,439,0,2224,4294,40,2595,13998,1874,0,5260,2516,705,470,6189,105,230,3879,145,150,1546,120,50,1353,140,255,2548,0,5,363,2090,940,8160,1075,210,4671,865,175,6644,1806,2985,11020,12571,7876,11249,16640,9441,3306,1949,20111,924,630,6285,3280,10,130,2196,4443,1221,444.3,3001,1532,300.1,504,706,50.4,2724,1287,272.4,60,50,30,90
Cap_GEDM,705,387,232,244,101,2249,2467,355,437,2389,2087,278,142,81,58,80,370,0,2012,92,2289,588,254,239,243,302,326,2488,0,842,251,949,0,1642,117,73,50,0,102,60,0,62,2903,0,4074,6176,0,0,0,75,0,0,260,336,19866,590,1794,43735,230,975,5629,0,860,7601,2272,0,0,2224,0,0,2595,13998,0,0,5260,2516,0,0,0,0,0,0,0,0,0,120,50,0,140,255,2548,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,12571,0,0,16640,0,0,1949,0,0,630,6285,3280,0,130,2196,4443,1221,444.3,3001,1532,300.1,504,706,50.4,2724,1287,272.4,60,50,0,90
