2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
1028.35,1060.78,1189.14,1325.58,1463.63,1606.53,1752.96,1901.44,2050.32,2197.82
1038.70,1071.45,1201.06,1338.85,1478.28,1622.59,1770.48,1920.44,2070.81,2219.78
1035.35,1067.99,1197.15,1334.48,1473.44,1617.27,1764.67,1914.13,2064.01,2212.49
1016.95,1049.05,1176.14,1311.27,1448.01,1589.60,1734.78,1882.04,2029.74,2176.09
977.74,1008.61,1130.80,1260.73,1392.21,1528.35,1667.93,1809.53,1951.56,2092.29
925.49,954.71,1070.40,1193.39,1317.86,1446.75,1578.90,1712.96,1847.43,1980.66
863.37,890.63,998.56,1113.32,1229.45,1349.70,1473.00,1598.10,1723.57,1847.89
863.77,891.05,999.04,1113.85,1230.02,1350.29,1473.60,1598.65,1724.04,1848.26
838.33,864.81,969.63,1081.06,1193.82,1310.56,1430.24,1551.62,1673.34,1793.91
828.26,854.41,957.98,1068.07,1179.48,1294.82,1413.07,1532.99,1653.25,1772.37
836.02,862.42,966.95,1078.08,1190.53,1306.95,1426.30,1547.35,1668.73,1788.96
858.56,885.67,993.02,1107.13,1222.61,1342.16,1464.72,1589.02,1713.66,1837.13
892.38,920.55,1032.11,1150.71,1270.72,1394.97,1522.35,1651.53,1781.07,1909.38
931.34,960.75,1077.17,1200.93,1326.17,1455.84,1588.76,1723.56,1858.74,1992.65
968.36,998.89,1119.69,1248.12,1378.09,1512.62,1650.47,1790.26,1930.44,2069.31
1010.47,1042.33,1168.44,1302.49,1438.14,1578.54,1722.41,1868.30,2014.59,2159.52
1048.09,1081.15,1212.02,1351.12,1491.86,1637.52,1786.78,1938.13,2089.90,2240.24
1077.74,1111.76,1246.41,1389.50,1534.27,1684.09,1837.62,1993.28,2149.37,2303.99
1098.03,1132.72,1269.98,1415.83,1563.36,1716.05,1872.51,2031.14,2190.19,2347.75
1109.41,1144.47,1283.22,1430.62,1579.71,1734.02,1892.12,2052.42,2213.15,2372.37
1113.40,1148.60,1287.88,1435.84,1585.49,1740.37,1899.06,2059.95,2221.27,2381.07
1111.79,1146.93,1286.02,1433.76,1583.20,1737.85,1896.31,2056.97,2218.06,2377.63
1105.82,1140.77,1279.08,1426.00,1574.62,1728.43,1886.03,2045.81,2206.02,2364.72
1095.84,1130.46,1267.46,1413.02,1560.26,1712.65,1868.80,2027.12,2185.86,2343.11
1081.36,1115.49,1250.61,1394.18,1539.44,1689.77,1843.82,2000.01,2156.62,2311.77
1081.48,1115.61,1250.65,1394.18,1539.40,1689.71,1843.73,1999.91,2156.51,2311.64
1070.45,1104.20,1237.79,1379.80,1523.50,1672.24,1824.65,1979.20,2134.18,2287.70
1049.33,1082.46,1213.62,1353.05,1494.13,1640.19,1789.92,1941.76,2094.02,2244.85
1010.17,1042.06,1168.31,1302.53,1438.35,1578.96,1723.10,1869.28,2015.86,2161.07
962.41,992.80,1113.11,1241.01,1370.43,1504.41,1641.76,1781.05,1920.73,2059.09
899.34,927.73,1040.16,1159.68,1280.62,1405.84,1534.20,1664.38,1794.92,1924.24
906.25,934.86,1048.11,1168.50,1290.32,1416.43,1545.68,1676.75,1808.17,1938.35
880.79,908.60,1018.67,1135.69,1254.09,1376.65,1502.28,1629.68,1757.42,1883.95
870.79,898.28,1007.10,1122.79,1239.85,1361.03,1485.23,1611.18,1737.47,1862.57
877.58,905.28,1014.96,1131.55,1249.52,1371.64,1496.81,1623.74,1751.02,1877.09
901.40,929.86,1042.50,1162.25,1283.42,1408.85,1537.41,1667.78,1798.51,1927.99
937.08,966.66,1083.76,1208.24,1334.19,1464.58,1598.22,1733.74,1869.63,2004.23
978.19,1009.07,1131.29,1261.22,1392.70,1528.80,1668.29,1809.74,1951.58,2092.08
1017.93,1050.02,1177.00,1312.02,1448.64,1590.05,1734.97,1881.91,2029.27,2175.24
1065.19,1098.78,1231.73,1373.06,1516.06,1664.07,1815.74,1969.54,2123.76,2276.53
1109.14,1144.14,1282.66,1429.89,1578.84,1733.01,1890.98,2051.16,2211.78,2370.89
1145.38,1181.55,1324.71,1476.82,1630.70,1789.96,1953.14,2118.60,2284.51,2448.85
1171.61,1208.64,1355.17,1510.84,1668.30,1831.25,1998.23,2167.52,2337.26,2505.40
1187.45,1225.00,1373.59,1531.42,1691.06,1856.26,2025.53,2197.14,2369.20,2539.65
1193.87,1231.63,1381.08,1539.79,1700.31,1866.43,2036.64,2209.20,2382.21,2553.59
1192.37,1230.08,1379.34,1537.86,1698.18,1864.09,2034.08,2206.43,2379.22,2550.39
1184.25,1221.70,1369.90,1527.31,1686.51,1851.27,2020.09,2191.24,2362.84,2532.83
1170.20,1207.19,1353.56,1509.04,1666.32,1829.09,1995.86,2164.95,2334.49,2502.44
1150.34,1186.67,1330.45,1483.23,1637.78,1797.73,1961.63,2127.81,2294.43,2459.49
1144.55,1180.67,1323.62,1475.55,1629.26,1788.35,1951.37,2116.67,2282.41,2446.61
1127.89,1163.46,1304.24,1453.88,1605.30,1762.03,1922.63,2085.48,2248.78,2410.55
1102.74,1137.54,1275.33,1421.79,1569.99,1723.40,1880.63,2040.06,2199.93,2358.29
1060.73,1094.21,1226.72,1367.60,1510.14,1657.71,1808.95,1962.31,2116.09,2268.41
1012.21,1044.16,1170.65,1305.11,1441.15,1581.99,1726.33,1872.70,2019.46,2164.84
946.01,975.87,1094.08,1219.74,1346.89,1478.52,1613.43,1750.23,1887.40,2023.28
938.19,967.80,1085.00,1209.60,1335.66,1466.16,1599.91,1735.53,1871.51,2006.21
912.19,940.98,1054.94,1176.08,1298.66,1425.55,1555.59,1687.46,1819.68,1950.65
901.89,930.35,1043.03,1162.80,1284.00,1409.46,1538.04,1668.41,1799.14,1928.64
909.23,937.92,1051.51,1172.26,1294.45,1420.92,1550.54,1681.98,1813.77,1944.32
932.79,962.23,1078.76,1202.63,1327.98,1457.73,1590.70,1725.54,1860.75,1994.67
968.14,998.70,1119.64,1248.20,1378.29,1512.95,1650.96,1790.90,1931.22,2070.22
1008.90,1040.74,1166.76,1300.73,1436.29,1576.62,1720.43,1866.25,2012.47,2157.31
1048.62,1081.67,1212.49,1351.58,1492.32,1638.00,1787.28,1938.66,2090.46,2240.83
1097.27,1131.87,1268.83,1414.42,1561.73,1714.20,1870.45,2028.88,2187.75,2345.12
1143.50,1179.59,1322.42,1474.22,1627.80,1786.75,1949.62,2114.77,2280.37,2444.42
1182.50,1219.85,1367.67,1524.73,1683.61,1848.04,2016.53,2187.36,2358.65,2528.33
1211.43,1249.73,1401.27,1562.25,1725.08,1893.60,2066.26,2241.32,2416.84,2590.71
1229.42,1268.30,1422.19,1585.62,1750.92,1921.98,2097.25,2274.94,2453.10,2629.58
1237.01,1276.15,1431.03,1595.51,1761.86,1934.00,2110.38,2289.19,2468.47,2646.06
1235.48,1274.57,1429.27,1593.54,1759.69,1931.62,2107.78,2286.37,2465.43,2642.79
1226.11,1264.89,1418.37,1581.37,1746.23,1916.83,2091.63,2268.85,2446.54,2622.54
1209.80,1248.04,1399.40,1560.17,1722.78,1891.07,2063.51,2238.33,2413.62,2587.26
1187.04,1224.53,1372.93,1530.60,1690.09,1855.16,2024.30,2195.79,2367.74,2538.07
1178.23,1215.42,1362.60,1519.00,1677.25,1841.03,2008.85,2179.02,2349.65,2518.68
1158.96,1195.51,1340.18,1493.95,1649.55,1810.59,1975.62,2142.96,2310.76,2476.99
1132.29,1168.02,1309.47,1459.82,1611.95,1769.42,1930.81,2094.46,2258.55,2421.09
1089.72,1124.10,1260.21,1404.89,1551.29,1702.84,1858.15,2015.64,2173.56,2329.99
1041.91,1074.79,1204.95,1343.32,1483.31,1628.23,1776.75,1927.35,2078.35,2227.93
975.31,1006.08,1127.92,1257.43,1388.48,1524.13,1663.16,1804.13,1945.49,2085.51
949.47,979.43,1098.03,1224.11,1351.68,1483.74,1619.08,1756.31,1893.91,2030.21
924.40,953.57,1069.05,1191.80,1316.01,1444.58,1576.35,1709.97,1843.94,1976.65
914.46,943.32,1057.56,1179.00,1301.87,1429.07,1559.42,1691.60,1824.13,1955.42
921.53,950.61,1065.73,1188.11,1311.93,1440.10,1571.46,1704.66,1838.22,1970.52
944.23,974.03,1091.98,1217.36,1344.23,1475.56,1610.15,1746.63,1883.47,2019.02
978.29,1009.15,1131.35,1261.25,1392.69,1528.75,1668.19,1809.58,1951.36,2091.79
1017.54,1049.64,1176.74,1311.84,1448.55,1590.06,1735.09,1882.15,2029.60,2175.66
1055.86,1089.15,1220.87,1360.92,1502.63,1649.32,1799.63,1952.06,2104.90,2256.32
1103.72,1138.53,1276.29,1422.73,1570.91,1724.28,1881.44,2040.81,2200.61,2358.91
1149.74,1186.02,1329.64,1482.26,1636.68,1796.50,1960.27,2126.32,2292.82,2457.76
1189.02,1226.58,1375.22,1533.15,1692.91,1858.25,2027.67,2199.45,2371.69,2542.30
1218.55,1257.07,1409.52,1571.45,1735.25,1904.75,2078.44,2254.53,2431.08,2605.98
1237.19,1276.32,1431.19,1595.67,1762.01,1934.16,2110.54,2289.36,2468.65,2646.25
1245.25,1284.65,1440.57,1606.16,1773.61,1946.91,2124.46,2304.47,2484.95,2663.72
1243.81,1283.17,1438.92,1604.31,1771.58,1944.67,2122.03,2301.83,2482.10,2660.66
1234.12,1273.16,1427.65,1591.72,1757.66,1929.38,2105.33,2283.71,2462.56,2639.72
1217.15,1255.63,1407.91,1569.67,1733.28,1902.60,2076.09,2251.98,2428.34,2603.03
1193.61,1231.31,1380.54,1539.08,1699.46,1865.45,2035.53,2207.97,2380.87,2552.15
1184.15,1221.53,1369.45,1526.64,1685.69,1850.29,2018.96,2189.99,2361.48,2531.36
1164.63,1201.37,1346.74,1501.27,1657.63,1819.46,1985.30,2153.46,2322.09,2489.13
1138.36,1174.28,1316.48,1467.63,1620.57,1778.88,1941.12,2105.63,2270.59,2433.99
1096.81,1131.41,1268.40,1414.02,1561.36,1713.89,1870.20,2028.70,2187.63,2345.06
1050.61,1083.76,1215.01,1354.52,1495.68,1641.80,1791.54,1943.39,2095.64,2246.45
985.43,1016.52,1139.61,1270.46,1402.86,1539.91,1680.37,1822.79,1965.60,2107.06
945.58,975.42,1093.55,1219.13,1346.19,1477.72,1612.52,1749.21,1886.27,2022.04
919.43,948.45,1063.31,1185.42,1308.97,1436.87,1567.95,1700.87,1834.14,1966.15
909.06,937.75,1051.32,1172.06,1294.22,1420.67,1550.28,1681.70,1813.47,1943.99
916.42,945.35,1059.84,1181.55,1304.70,1432.18,1562.83,1695.31,1828.15,1959.73
940.10,969.77,1087.22,1212.06,1338.39,1469.16,1603.18,1739.08,1875.35,2010.33
975.63,1006.42,1128.30,1257.86,1388.95,1524.66,1663.74,1804.77,1946.18,2086.25
1016.59,1048.67,1175.66,1310.65,1447.25,1588.64,1733.55,1880.49,2027.83,2173.78
1056.48,1089.78,1221.58,1361.71,1503.50,1650.27,1800.67,1953.19,2106.12,2257.63
1105.15,1140.01,1277.95,1424.58,1572.95,1726.52,1883.89,2043.46,2203.46,2361.97
