2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
5625.30,5802.68,6504.66,7250.90,8006.01,8787.58,9588.46,10400.56,11214.90,12021.61
5643.78,5821.74,6525.99,7274.65,8032.23,8816.34,9619.84,10434.59,11251.59,12060.94
5685.21,5864.46,6573.83,7327.96,8091.07,8880.91,9690.29,10511.00,11333.98,12149.25
5778.02,5960.18,6681.08,7447.49,8223.03,9025.74,9848.30,10682.40,11518.79,12347.36
5792.14,5974.73,6697.36,7465.60,8243.01,9047.66,9872.22,10708.33,11546.75,12377.33
5706.18,5886.23,6599.05,7356.89,8123.82,8917.85,9731.88,10557.61,11385.83,12206.50
5497.12,5670.59,6357.31,7087.42,7826.28,8591.27,9375.53,10171.08,10969.04,11759.73
5200.01,5364.11,6013.78,6704.49,7403.48,8127.20,8869.17,9621.83,10376.79,11124.88
4857.26,5010.55,5617.45,6262.69,6915.67,7591.77,8284.94,8988.12,9693.46,10392.40
4824.80,4977.19,5580.65,6222.18,6871.37,7543.60,8232.86,8932.05,9633.29,10328.06
4682.72,4830.64,5416.37,6039.06,6669.18,7321.67,7990.70,8669.39,9350.07,10024.46
4626.40,4772.54,5351.25,5966.47,6589.03,7233.69,7894.71,8565.26,9237.79,9904.10
4669.70,4817.21,5401.31,6022.28,6650.65,7301.33,7968.51,8645.31,9324.11,9996.63
4795.51,4946.97,5546.78,6184.42,6829.68,7497.83,8182.93,8877.89,9574.89,10265.46
4984.23,5141.65,5764.99,6427.67,7098.26,7792.63,8504.58,9226.79,9951.11,10668.74
5201.72,5366.00,6016.48,6708.00,7407.78,8132.36,8875.28,9628.88,10384.68,11133.50
5403.67,5574.03,6248.20,6964.94,7690.21,8440.91,9210.17,9990.21,10772.41,11547.29
5611.08,5788.01,6488.22,7232.57,7985.78,8765.37,9564.23,10374.27,11186.55,11991.22
5779.70,5962.00,6683.48,7450.36,8226.33,9029.46,9852.44,10686.92,11523.70,12352.63
5897.28,6083.35,6819.77,7602.45,8394.34,9213.95,10053.80,10905.37,11759.26,12605.14
5964.37,6152.62,6897.67,7689.43,8490.48,9319.54,10169.07,11030.43,11894.13,12749.72
5991.35,6180.51,6929.12,7724.62,8529.41,9362.32,10215.79,11081.13,11948.81,12808.34
5993.13,6182.37,6931.32,7727.14,8532.23,9365.46,10219.23,11084.88,11952.86,12812.68
5983.14,6172.08,6919.79,7714.28,8518.04,9349.88,10202.23,11066.44,11932.98,12791.38
5968.57,6157.02,6902.81,7695.29,8497.03,9326.79,10177.02,11039.08,11903.47,12759.74
5948.07,6135.82,6878.85,7668.47,8467.34,9294.15,10141.36,11000.38,11861.73,12714.99
5912.73,6099.31,6837.67,7622.42,8416.41,9238.17,10080.23,10934.04,11790.18,12638.29
5961.49,6149.53,6893.71,7684.73,8485.11,9313.51,10162.37,11023.11,11886.20,12741.21
5942.06,6129.43,6870.94,7659.21,8456.85,9282.42,10128.41,10986.24,11846.44,12698.58
5848.84,6033.53,6764.81,7542.20,8328.87,9143.38,9978.45,10825.47,11674.95,12516.56
5641.05,5819.18,6524.47,7274.26,8033.01,8818.62,9624.08,10441.08,11260.46,12072.25
5365.21,5534.66,6205.59,6918.83,7640.59,8387.91,9154.12,9931.33,10710.80,11483.05
5022.16,5180.78,5808.86,6476.57,7152.25,7851.89,8569.24,9296.91,10026.71,10749.75
5023.49,5182.13,5810.27,6477.98,7153.63,7853.13,8570.19,9297.42,10026.66,10749.03
4881.28,5035.44,5645.83,6294.69,6951.24,7630.99,8327.81,9034.51,9743.16,10445.13
4825.36,4977.76,5581.18,6222.62,6871.67,7543.65,8232.51,8931.14,9631.70,10325.66
4863.25,5016.84,5624.99,6271.45,6925.59,7602.83,8297.08,9001.18,9707.22,10406.62
4996.21,5153.99,5778.72,6442.82,7114.80,7810.51,8523.69,9246.99,9972.27,10690.73
5195.36,5359.42,6009.00,6699.51,7398.21,8121.59,8863.12,9615.16,10369.27,11116.29
5424.84,5596.13,6274.34,6995.29,7724.80,8480.05,9254.25,10039.42,10826.74,11606.67
5642.95,5820.85,6524.91,7273.41,8030.82,8814.78,9618.12,10432.71,11249.56,12058.76
5886.58,6072.23,6806.96,7587.97,8378.23,9196.17,10034.32,10884.20,11736.41,12580.64
6101.69,6294.22,7056.19,7866.02,8685.38,9533.41,10402.38,11283.48,12166.98,13042.19
6269.00,6466.92,7250.23,8082.58,8924.66,9796.18,10689.19,11594.64,12502.53,13401.89
6381.65,6583.24,7381.05,8228.68,9086.13,9973.53,10882.80,11804.69,12729.06,13644.73
6443.40,6647.03,7452.90,8308.97,9174.91,10071.08,10989.30,11920.27,12853.70,13778.35
6464.25,6668.58,7477.25,8336.24,9205.09,10104.25,11025.54,11959.60,12896.12,13823.83
6455.14,6659.19,7466.74,8324.52,9192.16,10090.06,11010.06,11942.80,12878.02,13804.42
6423.49,6626.49,7429.90,8283.35,9146.64,10040.05,10955.45,11883.55,12814.11,13735.91
6370.78,6572.03,7368.52,8214.73,9070.75,9956.66,10864.39,11784.74,12707.54,13621.66
6293.14,6491.83,7278.19,8113.78,8959.13,9834.02,10730.49,11639.44,12550.84,13453.67
6295.91,6494.58,7280.81,8116.43,8961.88,9836.91,10733.55,11642.70,12554.33,13457.40
6233.70,6430.31,7208.37,8035.44,8872.31,9738.48,10626.07,11526.07,12428.54,13322.55
6111.50,6304.47,7068.44,7880.53,8702.25,9552.93,10424.91,11309.21,12195.95,13074.33
5884.91,6070.70,6806.30,7588.26,8379.50,9198.66,10038.33,10889.88,11743.77,12589.63
5607.29,5784.36,6485.41,7230.61,7984.65,8765.28,9565.48,10376.99,11190.73,11996.81
5244.32,5409.93,6065.61,6762.61,7467.88,8198.04,8946.52,9705.60,10466.77,11220.78
5171.29,5334.57,5981.01,6668.16,7363.45,8083.23,8821.01,9569.17,10319.36,11062.46
5026.08,5184.78,5813.10,6481.00,7156.80,7856.41,8573.51,9300.72,10029.88,10752.16
4968.53,5125.42,5746.56,6406.82,7074.90,7766.52,8475.43,9194.32,9915.16,10629.18
5009.47,5167.65,5793.91,6459.60,7133.17,7830.47,8545.21,9270.02,9996.78,10716.68
5141.00,5303.32,5945.99,6629.12,7320.35,8035.92,8769.39,9513.18,10258.98,10997.74
5338.36,5506.91,6174.19,6883.50,7601.22,8344.21,9105.77,9878.05,10652.42,11419.48
5565.89,5741.61,6437.28,7176.77,7925.02,8699.63,9493.57,10298.70,11106.00,11905.69
5784.29,5966.66,6688.37,7455.63,8232.02,9035.62,9859.09,10694.10,11531.41,12360.89
6038.44,6228.90,6982.64,7783.84,8594.52,9433.59,10293.40,11165.23,12039.44,12905.47
6270.44,6468.33,7251.50,8083.82,8925.91,9797.46,10690.53,11596.05,12504.03,13403.49
6457.90,6661.84,7468.95,8326.54,9194.11,10091.99,11012.01,11944.82,12880.15,13806.68
6590.25,6798.50,7622.66,8498.19,9383.83,10300.38,11239.49,12191.64,13146.32,14092.02
6667.61,6878.40,7712.64,8598.74,9494.99,10422.51,11372.85,12336.34,13302.38,14259.31
6697.06,6908.84,7746.99,8637.17,9537.52,10469.25,11423.89,12391.74,13362.13,14323.36
6687.91,6899.40,7736.42,8625.39,9524.51,10454.98,11408.33,12374.85,13343.92,14303.85
6647.42,6857.58,7689.33,8572.78,9466.34,10391.07,11338.55,12299.14,13262.26,14216.31
6578.57,6786.46,7609.21,8483.23,9367.32,10282.27,11219.74,12170.22,13123.23,14067.26
6480.26,6684.92,7494.87,8355.46,9226.06,10127.07,11050.30,11986.36,12924.94,13854.70
6461.43,6665.36,7472.40,8330.08,9197.84,10095.95,11016.22,11949.33,12884.98,13811.84
6380.49,6581.73,7378.18,8224.78,9081.39,9968.00,10876.51,11797.73,12721.47,13636.56
6247.46,6444.70,7225.51,8055.48,8895.27,9764.61,10655.63,11559.17,12465.16,13362.60
6016.64,6206.56,6958.46,7757.72,8566.46,9403.67,10261.76,11131.93,12004.46,12868.76
5743.89,5925.25,6643.22,7406.39,8178.58,8977.95,9797.28,10628.12,11461.21,12286.44
5377.81,5547.60,6219.80,6934.33,7657.33,8405.79,9172.95,9950.91,10730.97,11503.66
5221.51,5386.35,6038.94,6732.62,7434.50,8161.08,8905.75,9660.88,10418.03,11168.01
5081.54,5241.98,5877.11,6552.22,7235.32,7942.45,8667.20,9402.13,10139.01,10868.93
5026.07,5184.75,5812.96,6480.72,7156.37,7855.80,8572.65,9299.57,10028.42,10750.39
5065.52,5225.44,5858.57,6531.56,7212.51,7917.42,8639.89,9372.50,10107.06,10834.68
5192.25,5356.17,6005.11,6694.90,7392.86,8115.37,8855.88,9606.78,10359.69,11105.48
5382.38,5552.29,6224.95,6939.97,7663.44,8412.36,9179.94,9958.29,10738.72,11511.78
5601.52,5778.34,6478.34,7222.42,7975.31,8754.67,9553.45,10363.43,11175.58,11980.06
5813.27,5996.55,6721.89,7492.99,8273.28,9080.91,9908.51,10747.71,11589.22,12422.85
6068.85,6260.28,7017.86,7823.12,8637.92,9481.24,10345.39,11221.63,12100.27,12970.68
6308.47,6507.59,7295.60,8133.04,8980.29,9857.18,10755.70,11666.76,12580.28,13485.23
6507.76,6713.31,7526.80,8391.12,9265.47,10170.36,11097.55,12037.64,12980.24,13913.97
6653.29,6863.57,7695.82,8579.88,9474.09,10399.52,11347.71,12309.05,13272.94,14227.75
6742.06,6955.27,7799.06,8695.23,9601.63,10539.63,11500.70,12475.05,13451.96,14419.66
6778.46,6992.88,7841.48,8742.67,9654.11,10597.30,11563.68,12543.40,13525.68,14498.68
6770.06,6984.22,7831.79,8731.87,9642.19,10584.22,11549.40,12527.91,13508.98,14480.79
6723.82,6936.46,7778.01,8671.79,9575.76,10511.24,11469.72,12441.46,13415.74,14380.83
6643.86,6853.86,7684.98,8567.82,9460.80,10384.94,11331.82,12291.82,13254.36,14207.83
6531.49,6737.81,7554.32,8421.82,9299.39,10207.61,11138.21,12081.74,13027.80,13964.96
6498.84,6703.97,7515.79,8378.51,9251.35,10154.71,11080.36,12018.92,12960.02,13892.28
6407.57,6609.68,7409.56,8259.78,9120.06,10010.46,10922.85,11848.00,12775.69,13694.68
6271.49,6469.46,7253.18,8086.22,8929.11,9801.62,10695.83,11602.58,12511.77,13412.36
6044.07,6234.84,6990.05,7792.83,8605.11,9445.95,10307.73,11181.59,12057.80,12925.74
5782.29,5964.84,6687.51,7455.65,8232.87,9037.41,9861.97,10698.10,11536.46,12366.90
5422.20,5593.37,6271.00,6991.29,7720.11,8474.56,9247.81,10031.91,10818.10,11596.87
5207.41,5371.82,6022.70,6714.56,7414.61,8139.29,8882.05,9635.25,10390.47,11138.54
5061.42,5221.22,5853.89,6526.39,7206.84,7911.24,8633.22,9365.34,10099.43,10826.57
5003.55,5161.53,5786.98,6451.80,7124.48,7820.85,8534.59,9258.36,9984.07,10702.91
5044.70,5203.98,5834.55,6504.83,7183.04,7885.12,8604.72,9334.43,10066.10,10790.84
5176.91,5340.36,5987.43,6675.25,7371.20,8091.65,8830.07,9578.86,10329.66,11073.37
5375.31,5545.01,6216.84,6930.96,7653.55,8401.56,9168.22,9945.65,10725.17,11497.33
5604.04,5780.95,6481.31,7225.77,7979.05,8758.84,9558.06,10368.51,11181.14,11986.09
5824.55,6008.19,6734.93,7507.53,8289.33,9098.52,9927.73,10768.55,11611.69,12446.94
6084.89,6276.82,7036.38,7843.76,8660.70,9506.24,10372.67,11251.22,12132.17,13004.87
6325.37,6525.01,7315.09,8154.74,9004.24,9883.46,10784.37,11697.85,12613.80,13521.16
6522.19,6728.19,7543.42,8409.61,9285.87,10192.74,11121.96,12064.10,13008.76,13944.55
6663.28,6873.86,7707.28,8592.60,9488.11,10414.88,11364.46,12327.21,13292.51,14248.73
6747.32,6960.67,7805.02,8701.82,9608.87,10547.55,11509.32,12484.39,13462.03,14430.44
6780.33,6994.78,7843.52,8744.88,9656.50,10599.90,11566.49,12546.44,13528.95,14502.19
6771.04,6985.20,7832.78,8732.92,9643.30,10585.42,11550.69,12529.30,13510.47,14482.38
6726.73,6939.43,7781.25,8675.34,9579.65,10515.49,11474.34,12446.45,13421.12,14386.60
6650.96,6861.17,7693.10,8576.82,9470.71,10395.79,11343.65,12304.64,13268.18,14222.64
6543.72,6750.41,7568.39,8437.47,9316.65,10226.54,11158.85,12104.12,13051.92,13990.82
6515.34,6720.98,7534.81,8399.70,9274.73,10180.36,11108.34,12049.26,12992.73,13927.35
6425.67,6628.36,7430.48,8283.08,9145.78,10038.68,10953.65,11881.40,12811.70,13733.28
6286.74,6485.20,7270.87,8105.99,8950.98,9825.69,10722.18,11631.25,12542.77,13445.68
6052.51,6243.55,6999.87,7803.82,8617.30,9459.40,10322.48,11197.68,12075.24,12944.52
5779.95,5962.44,6684.86,7452.75,8229.72,9034.01,9858.34,10694.25,11532.41,12362.64
5410.49,5581.30,6257.51,6976.32,7703.63,8456.54,9228.22,10010.75,10795.38,11572.60
5072.35,5232.52,5866.62,6540.65,7222.67,7928.71,8652.41,9386.29,10122.15,10851.06
4926.82,5082.39,5698.34,6353.07,7015.55,7701.38,8404.35,9117.23,9832.02,10540.06
4868.93,5022.68,5631.40,6278.45,6933.17,7610.95,8305.68,9010.20,9716.62,10416.35
4912.78,5067.91,5682.11,6334.98,6995.58,7679.46,8380.43,9091.28,9804.04,10510.07
5041.10,5200.28,5830.48,6500.37,7178.19,7879.90,8599.14,9328.51,10059.85,10784.28
5233.79,5399.04,6053.28,6748.73,7452.41,8180.88,8927.55,9684.74,10443.97,11196.02
5455.93,5628.18,6310.14,7035.05,7768.54,8527.87,9306.17,10095.42,10886.80,11670.71
5669.05,5847.78,6555.12,7307.09,8068.02,8855.60,9662.67,10481.04,11301.67,12114.62
5918.82,6105.50,6844.32,7629.65,8424.28,9246.73,10089.51,10944.07,11800.98,12649.85
6147.72,6341.74,7109.60,7925.64,8751.26,9605.76,10481.36,11369.16,12259.38,13141.24
6333.41,6533.43,7325.01,8166.09,9016.95,9897.54,10799.84,11714.69,12631.99,13540.68
6465.09,6669.39,7477.94,8336.87,9205.71,10104.88,11026.18,11960.26,12896.82,13824.57
6542.38,6749.23,7567.85,8437.34,9316.79,10226.92,11159.43,12104.84,13052.76,13991.73
6571.87,6779.70,7602.24,8475.82,9359.36,10273.70,11210.53,12160.30,13112.57,14055.85
6562.42,6769.96,7591.33,8463.67,9345.95,10258.99,11194.47,12142.89,13093.79,14035.72
6521.17,6727.35,7543.36,8410.06,9286.68,10193.88,11123.38,12065.75,13010.60,13946.54
6451.20,6655.08,7461.94,8319.06,9186.06,10083.32,11002.67,11934.76,12869.33,13795.10
6410.56,6613.02,7414.28,8265.62,9126.87,10018.20,10931.51,11857.51,12786.00,13705.76
6375.11,6576.31,7372.58,8218.82,9074.99,9961.11,10869.09,11789.75,12712.90,13627.38
6274.55,6472.46,7255.69,8088.23,8930.63,9802.52,10695.95,11601.88,12510.29,13410.19
6126.42,6319.85,7085.57,7899.50,8723.06,9575.59,10449.39,11335.48,12223.96,13104.05
5889.60,6075.53,6811.58,7594.00,8385.70,9205.27,10045.30,10897.15,11751.30,12597.39
5620.22,5797.68,6500.24,7247.01,8002.61,8784.82,9586.55,10399.56,11214.76,12022.25
5263.00,5429.17,6087.06,6786.38,7493.98,8226.50,8977.33,9738.72,10502.18,11258.42
