2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
12405.14,12796.35,14344.58,15990.39,17655.74,19379.40,21145.66,22936.61,24732.45,26511.42
12463.66,12856.71,14412.24,16065.82,17739.01,19470.81,21245.40,23044.80,24849.10,26636.47
12629.85,13028.15,14604.42,16280.05,17975.56,19730.44,21528.70,23352.09,25180.46,26991.65
12844.95,13250.03,14853.15,16557.31,18281.70,20066.47,21895.35,23749.80,25609.30,27451.35
12879.62,13285.79,14893.24,16602.00,18331.04,20120.63,21954.44,23813.89,25678.42,27525.43
12669.50,13069.07,14650.42,16331.45,18032.45,19793.05,21597.23,23426.69,25261.19,27078.52
12204.71,12589.62,14112.97,15732.34,17370.94,19066.96,20804.96,22567.31,24334.53,26085.21
11542.56,11906.58,13347.29,14878.81,16428.52,18032.53,19676.26,21343.02,23014.38,24670.10
10793.38,11133.78,12480.99,13913.11,15362.24,16862.16,18399.22,19957.82,21520.72,23069.01
10647.69,10983.80,12314.42,13728.96,15160.41,16642.46,18161.89,19703.23,21249.31,22781.41
10333.55,10659.75,11951.16,13324.03,14713.30,16151.71,17626.41,19122.40,20623.00,22110.06
10208.97,10531.23,11807.10,13163.44,14535.98,15957.07,17414.04,18892.04,20374.61,21843.79
10304.58,10629.86,11917.66,13286.68,14672.06,16106.44,17577.01,19068.82,20565.23,22048.13
10582.54,10916.59,12239.08,13644.99,15067.68,16540.68,18050.84,19582.77,21119.42,22642.18
10999.59,11346.79,12721.33,14182.57,15661.25,17192.19,18761.73,20353.87,21950.90,23533.47
11480.23,11842.59,13277.11,14802.12,16345.33,17943.05,19581.02,21242.56,22909.16,24560.66
11929.24,12305.44,13794.29,15376.96,16978.42,18635.96,20334.46,22056.71,23783.65,25494.38
12309.70,12697.90,14234.24,15867.39,17519.93,19230.34,20983.02,22760.19,24542.22,26307.51
12565.76,12962.04,14530.35,16197.48,17884.40,19630.40,21419.54,23233.69,25052.79,26854.80
12690.52,13090.73,14674.62,16358.32,18062.00,19825.33,21632.25,23464.41,25301.58,27121.49
12708.52,13109.31,14695.46,16381.56,18087.66,19853.51,21662.99,23497.76,25337.54,27160.04
12665.24,13064.67,14645.43,16325.79,18026.09,19785.93,21589.26,23417.78,25251.30,27067.59
12611.39,13009.12,14583.17,16256.39,17949.46,19701.82,21497.48,23318.24,25143.96,26952.54
12586.66,12983.61,14554.57,16224.51,17914.27,19663.19,21455.33,23272.52,25094.66,26899.69
12607.34,13004.94,14578.48,16251.16,17943.69,19695.48,21490.56,23310.73,25135.87,26943.86
12661.30,13060.60,14640.86,16320.70,18020.46,19779.75,21582.51,23410.46,25243.40,27059.13
12711.71,13112.59,14699.13,16385.64,18092.16,19858.45,21668.38,23503.60,25343.83,27166.79
12954.96,13363.51,14980.39,16699.16,18438.33,20238.41,22082.96,23953.30,25828.74,27686.57
13031.02,13441.97,15068.33,16797.18,18546.56,20357.19,22212.57,24093.89,25980.33,27849.07
12878.81,13285.29,14894.46,16605.13,18336.20,20128.40,21965.68,23829.35,25698.67,27550.99
12450.22,12843.19,14398.87,16052.67,17726.21,19458.85,21235.11,23036.91,24844.17,26635.03
11814.64,12187.57,13663.93,15233.41,16821.62,18465.96,20151.73,21861.76,23577.02,25276.73
11082.11,11431.93,12816.87,14289.15,15779.03,17321.58,18903.05,20507.32,22116.53,23711.19
11029.91,11378.39,12758.34,14225.24,15709.62,17246.68,18822.77,20421.65,22025.33,23614.31
10715.48,11054.05,12394.75,13819.94,15262.11,16755.48,18286.80,19840.28,21398.45,22942.34
10591.81,10926.47,12251.74,13660.52,15086.09,16562.27,18075.98,19611.61,21151.87,22678.03
10675.46,11012.76,12348.48,13768.35,15205.15,16692.96,18218.58,19766.29,21318.66,22856.81
10969.25,11315.82,12688.20,14147.05,15623.29,17151.92,18719.37,20309.49,21904.40,23484.68
11409.36,11769.80,13197.11,14714.35,16249.67,17839.45,19469.57,21123.23,22781.84,24425.24
11916.50,12292.94,13783.54,15368.07,16971.47,18631.72,20334.05,22060.92,23792.95,25509.08
12383.74,12774.29,14319.92,15962.94,17625.45,19346.17,21109.42,22897.30,24690.07,26465.99
12831.46,13236.18,14837.90,16540.47,18263.20,20046.24,21873.33,23725.94,25583.60,27423.80
13171.13,13586.63,15231.05,16978.90,18747.40,20577.80,22453.40,24355.18,26262.12,28151.14
13383.59,13805.89,15477.17,17253.48,19050.70,20910.80,22816.83,24749.43,26687.26,28606.87
13480.91,13906.36,15590.13,17379.59,19190.07,21063.88,22983.92,24930.72,26882.76,28816.44
13497.57,13923.61,15609.74,17401.60,19214.47,21090.73,23013.28,24962.60,26917.15,28853.31
13476.38,13901.80,15585.43,17374.60,19184.71,21058.10,22977.71,24924.03,26875.57,28808.75
13453.18,13877.86,15558.61,17344.70,19151.70,21021.88,22938.18,24881.16,26829.35,28759.20
13444.82,13869.21,15548.77,17333.65,19139.45,21008.39,22923.44,24865.15,26812.08,28740.68
13443.97,13868.26,15547.45,17332.03,19137.57,21006.25,22921.05,24862.53,26809.23,28737.63
13422.02,13845.54,15521.65,17303.07,19105.47,20970.93,22882.45,24820.61,26764.02,28689.15
13585.94,14014.54,15710.75,17513.66,19337.87,21225.92,23160.60,25122.28,27089.28,29037.79
13587.06,14015.61,15711.65,17514.49,19338.67,21226.71,23161.40,25123.10,27090.15,29038.72
13397.33,13820.49,15496.01,17277.07,19079.33,20945.38,22858.58,24799.26,26745.66,28674.12
12932.25,13340.73,14958.12,16677.42,18417.19,20218.58,22065.52,23939.03,25818.07,27679.81
12288.52,12676.71,14213.83,15847.78,17501.17,19213.14,20968.46,22749.06,24534.94,26304.39
11516.23,11880.05,13320.71,14852.15,16401.83,18006.46,19651.79,21320.86,22994.91,24653.59
11309.25,11666.55,13081.36,14585.19,16106.81,17682.22,19297.30,20935.36,22577.98,24205.19
10988.23,11335.41,12710.15,14171.38,15649.91,17180.72,18750.10,20341.80,21937.95,23519.12
10860.97,11204.13,12562.99,14007.34,15468.79,16981.92,18533.17,20106.50,21684.23,23247.15
10951.41,11297.43,12667.58,14123.93,15597.52,17123.21,18687.34,20273.74,21864.55,23440.45
11242.08,11597.27,13003.69,14498.60,16011.21,17577.29,19182.81,20811.16,22444.06,24061.64
11678.26,12047.21,13508.07,15060.85,16632.01,18258.70,19926.33,21617.65,23313.69,24993.82
12181.14,12565.94,14089.56,15709.06,17347.73,19044.29,20783.51,22547.44,24316.28,26068.53
12654.62,13053.73,14633.26,16312.29,18011.21,19769.62,21571.48,23398.52,25230.53,27045.33
13164.02,13579.32,15222.91,16969.88,18737.46,20566.91,22441.53,24342.31,26248.25,28136.27
13598.53,14027.72,15726.27,17531.41,19357.73,21247.93,23184.77,25148.59,27117.70,29068.28
13922.16,14361.76,16101.55,17950.24,19820.49,21756.10,23739.42,25750.32,27766.59,29763.87
14127.24,14573.52,16339.72,18216.21,20114.44,22078.97,24091.89,26132.73,28179.00,30205.96
14229.14,14678.79,16458.35,18348.82,20261.10,22240.12,24267.85,26323.68,28384.94,30426.73
14255.46,14706.03,16489.24,18383.46,20299.47,22282.34,24314.00,26373.78,28438.98,30484.67
