NAME,Country/District Code,oil,gas,coal,uranium,biomass
United Kingdom,GBR,NPS,NPS_EU,NPS_EU,NPS,NPS_EU
Taiwan,TWN,NPS,NPS_JP,NPS_JP,NPS,NPS_world
