Country/District Code,Zone_Code,TimeZone
GBR,GBR.NI,0
GBR,GBR.Scotland,0
GBR,GBR.UKC,0
GBR,GBR.UKD,0
GBR,GBR.UKE,0
GBR,GBR.UKF,0
GBR,GBR.UKG,0
GBR,GBR.UKH,0
GBR,GBR.UKI,0
GBR,GBR.UKJ,0
GBR,GBR.UKK,0
GBR,GBR.Wales,0
TWN,TWN.Central,8
TWN,TWN.East,8
TWN,TWN.North,8
TWN,TWN.South,8
