Zone,Process,2015,2020,2025,2030,2035,2040,2045,2050
GBR.UKK,HYD_SM,0,0,15,31,48,66,66,66
GBR.Wales,WND_ON,1208,1208,1699,2205,2739,3303,3303,3303
GBR.Wales,PV_FT,893,893,0,0,0,0,0,0
GBR.Wales,PV_TK,0,0,1918,3896,5979,8183,8183,8183
GBR.Wales,PV_Dist,0,0,0,0,0,0,0,0
GBR.Wales,CSP_ST6,0,0,0,0,0,0,0,0
GBR.Wales,CSP_ST9,0,0,0,0,0,0,0,0
GBR.Wales,GEO_hydro,0,0,0,0,0,0,0,0
GBR.Wales,HYD_LG,2195,2195,0,0,0,0,0,0
GBR.Wales,HYD_SM,0,0,30,61,94,129,129,129
GBR.OffRgn1,WND_OFF_SH,1344,1344,1008,672,336,0,0,0
GBR.OffRgn1,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn1,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn2,WND_OFF_SH,54,54,40,27,13,0,0,0
GBR.OffRgn2,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn2,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn3,WND_OFF_SH,187,187,354,522,689,856,856,856
GBR.OffRgn3,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn3,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn4,WND_OFF_SH,726,726,544,363,182,0,0,0
GBR.OffRgn4,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn4,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn5,WND_OFF_SH,440,440,330,220,110,0,0,0
GBR.OffRgn5,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn5,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn6,WND_OFF_SH,1696,1696,1272,848,424,0,0,0
GBR.OffRgn6,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn6,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn7,WND_OFF_SH,1582,1582,1416,1250,1085,919,919,919
GBR.OffRgn7,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn7,WND_OFF_DE,0,0,0,0,0,0,0,0
GBR.OffRgn8,WND_OFF_SH,72,72,54,36,18,0,0,0
GBR.OffRgn8,WND_OFF_IN,0,0,0,0,0,0,0,0
GBR.OffRgn8,WND_OFF_DE,0,0,0,0,0,0,0,0
