Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.East,TWNZ1,BESS_ST1,Input,50.0,-0.00,-16.84,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-16.84,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-16.84,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-16.84,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
TWN.East,TWNZ1,BESS_ST1,Output,50.0,0.00,0.00,0.00,0.00,15.83,0.00,0.00,0.00,0.00,0.00,0.00,15.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.83,0.00,0.00,0.00,0.00
TWN.East,TWNZ1,BESS_ST1,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.75,23.75,23.75,23.75,23.75,23.75,13.12,23.75,23.75,23.75,23.75,23.75,23.75,23.75,16.98,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,16.65
TWN.East,TWNZ1,BESS_ST1,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.North,TWNZ2,BESS_ST1,Input,352.2,-0.00,-118.19,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-118.19,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-95.70,-0.00,-0.00,-0.00,-0.00,-0.00,-22.49,-0.00,-0.00,-118.19,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
TWN.North,TWNZ2,BESS_ST1,Output,352.2,0.00,0.00,0.00,0.00,111.53,0.00,0.00,0.00,0.00,0.00,0.00,111.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.53,0.00,0.00,0.00,0.00,0.00,53.48,58.05,0.00,0.00,0.00
TWN.North,TWNZ2,BESS_ST1,AS T1,,167.29,167.29,167.29,167.29,167.29,145.39,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29,167.29
TWN.North,TWNZ2,BESS_ST1,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.South,TWNZ3,BESS_ST1,Input,93.3,-0.00,-31.26,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-31.26,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-31.26,-0.00,-31.26,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
TWN.South,TWNZ3,BESS_ST1,Output,93.3,0.00,0.00,0.00,0.00,29.54,0.00,0.00,0.00,0.00,0.00,0.00,29.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.88,22.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.54,0.00,0.00
TWN.South,TWNZ3,BESS_ST1,AS T1,,12.95,0.00,44.31,44.31,44.31,44.31,0.00,0.00,44.31,44.31,44.31,44.31,44.31,24.50,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,0.00,44.31,44.31,44.31,44.31,44.31,44.31,44.31,44.31,21.21
TWN.South,TWNZ3,BESS_ST1,AS T2,,31.36,44.31,0.00,0.00,0.00,0.00,0.00,44.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,New BESS_ST1,Input,110.3,-0.00,-36.76,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-36.76,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-36.76,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-36.76,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
TWN.Central,TWNZ0,New BESS_ST1,Output, ,0.00,0.00,0.00,0.00,34.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.92,0.00,0.00,0.00,0.00,0.00,0.00,34.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.92,0.00,0.00,0.00,0.00
TWN.Central,TWNZ0,New BESS_ST1,AS T1,,9.58,0.00,0.00,23.90,21.70,0.00,0.00,0.00,52.38,52.38,52.38,52.38,45.73,52.38,0.00,4.50,52.38,52.38,52.38,52.38,52.38,52.38,5.59,23.28,38.16,52.38,52.38,52.38,52.38,41.38,20.98,6.96
