ProcessName,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
COA_SUB,0,0,0,0,0,0,1458.2,0,232,0,0,0,0,0,0
COA_SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COA_USC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COA_IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS_OCGT,0,0,0,0,0,0,0,0,0,0,1123.4,333.5,170.5,0,0
GAS_CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OIL_ST,0,0,0,0,0,0,174.6,0,0,0,0,0,0,163.2,0
NUK_LWR,0,0,0,0,0,0,0,1185,965,0,0,0,0,0,0
HYD_LG,0,0,0,0,0,0,0,0,880.3,0,0,0,0,440,0
HYD_SM,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0
HYD_PS,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0
WND_ON,0,0,0,0,0,0,0,0,1047.2,0,350,794.8,2146.2,2835.1,0
WND_OFF_SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PV_FT,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
PV_Dist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSP_ST6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO_hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIO_ST,0,0,0,0,0,0,0,0,0,0,0,0,0,333.2,0
