TJ,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
TWN,24444,28514,32585,36655,40725,44795,48866,52936,52936,52936
GBR,205499,230424,255348,280273,305197,330121,355046,379970,379970,379970
