Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M12*1*2H0--3,M12*1*2H3--6,M12*1*2H6--9,M12*1*2H9--12,M12*1*2H12--15,M12*1*2H15--18,M12*1*2H18--21,M12*1*2H21--0,M3*4*5H0--3,M3*4*5H3--6,M3*4*5H6--9,M3*4*5H9--12,M3*4*5H12--15,M3*4*5H15--18,M3*4*5H18--21,M3*4*5H21--0,M6*7*8H0--3,M6*7*8H3--6,M6*7*8H6--9,M6*7*8H9--12,M6*7*8H12--15,M6*7*8H15--18,M6*7*8H18--21,M6*7*8H21--0,M9*10*11H0--3,M9*10*11H3--6,M9*10*11H6--9,M9*10*11H9--12,M9*10*11H12--15,M9*10*11H15--18,M9*10*11H18--21,M9*10*11H21--0
CRI.All,CRIZ0,New NUK_LWR,Net Output, ,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,12.56,81.48,65.09,82.15,82.15,82.15,82.15,82.15,76.61,0.00,47.25,82.15,82.15,82.15
CRI.All,CRIZ0,New NUK_LWR,AS T1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,New NUK_LWR,AS T2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI.All,CRIZ0,New NUK_LWR,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,Gross Output,185.3,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,166.76,35.28,0.00,0.00,0.00,0.00,6.37,0.00,103.81,75.80,33.40,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,Net Output, ,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,155.08,32.81,0.00,0.00,0.00,0.00,5.92,0.00,96.55,70.50,31.06,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NIC.Central,NICZ1,New GAS_CCGT,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39,0.00,0.00,0.00,0.00,0.00,0.00
NIC.East,NICZ2,New GAS_CCGT,Gross Output,117.9,106.12,106.12,91.60,84.26,104.89,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,106.12,104.15,0.00,0.00,0.00,106.12,106.12,106.12,106.12,104.09,0.00,0.00,0.00,106.12,106.12,106.12
