Zone code,Zone ID,ProcessName,CF_Class,2015,2020,2025,2030,2035,2040,2045,2050
NIC.Central,NICZ1,Transmission from:NICZ1,To:NICZ2,100,100,100,0,0,0,0,0
NIC.Central,NICZ1,Transmission from:NICZ1,To:ET2168,0,0,0,0,0,0,0,0
NIC.Central,NICZ1,Transmission from:NICZ1,To:NICZ3,100,100,100,0,0,0,0,0
NIC.East,NICZ2,Transmission from:NICZ2,To:ET2170,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Transmission from:NICZ2,To:CRIZ0,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Transmission from:NICZ2,To:ET2172,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Transmission from:NICZ2,To:NICZ3,0,0,0,0,0,0,0,0
NIC.East,NICZ2,Transmission from:NICZ2,To:NICZ1,100,100,100,0,0,0,0,0
NIC.West,NICZ3,Transmission from:NICZ3,To:ET2175,275,275,275,0,0,0,0,0
NIC.West,NICZ3,Transmission from:NICZ3,To:CRIZ0,532,532,532,0,0,0,0,0
NIC.West,NICZ3,Transmission from:NICZ3,To:NICZ2,0,0,0,0,0,0,0,0
NIC.West,NICZ3,Transmission from:NICZ3,To:NICZ1,158,158,158,0,0,0,0,0
NIC.OffRgn1,NICZF2,Transmission from:NICZF2,To:NICZ3,0,0,0,0,0,0,0,0
NIC.OffRgn2,NICZF3,Transmission from:NICZF3,To:NICZ2,0,0,0,0,0,0,0,0
