Zone Code,ZoneID,Technology,Item,Installed Capacity(MW),M[12][1][2]H[0][1][2],M[12][1][2]H[3][4][5],M[12][1][2]H[6][7][8],M[12][1][2]H[9][10][11],M[12][1][2]H[12][13][14],M[12][1][2]H[15][16][17],M[12][1][2]H[18][19][20],M[12][1][2]H[21][22][23],M[3][4][5]H[0][1][2],M[3][4][5]H[3][4][5],M[3][4][5]H[6][7][8],M[3][4][5]H[9][10][11],M[3][4][5]H[12][13][14],M[3][4][5]H[15][16][17],M[3][4][5]H[18][19][20],M[3][4][5]H[21][22][23],M[6][7][8]H[0][1][2],M[6][7][8]H[3][4][5],M[6][7][8]H[6][7][8],M[6][7][8]H[9][10][11],M[6][7][8]H[12][13][14],M[6][7][8]H[15][16][17],M[6][7][8]H[18][19][20],M[6][7][8]H[21][22][23],M[9][10][11]H[0][1][2],M[9][10][11]H[3][4][5],M[9][10][11]H[6][7][8],M[9][10][11]H[9][10][11],M[9][10][11]H[12][13][14],M[9][10][11]H[15][16][17],M[9][10][11]H[18][19][20],M[9][10][11]H[21][22][23]
TWN.East,TWNZ1,New COA_USC,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.East,TWNZ1,New COA_USC,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.North,TWNZ2,New COA_USC,Gross Output,4609.1,4148.22,4148.22,4148.22,4148.22,4148.22,4148.22,4148.22,4148.22,4148.22,4096.81,4148.22,4148.22,4148.22,4148.22,4148.22,4148.22,4142.66,4100.81,4094.06,4129.56,4125.09,4148.22,4148.22,4148.22,4148.22,4147.15,4147.86,4141.10,4148.22,4148.22,4148.22,4148.22
TWN.North,TWNZ2,New COA_USC,Net Output, ,3857.84,3857.84,3857.84,3857.84,3857.84,3857.84,3857.84,3857.84,3857.84,3810.04,3857.84,3857.84,3857.84,3857.84,3857.84,3857.84,3852.68,3813.76,3807.47,3840.49,3836.34,3857.84,3857.84,3857.84,3857.84,3856.85,3857.51,3851.22,3857.84,3857.84,3857.84,3857.84
TWN.North,TWNZ2,New COA_USC,AS T1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.40,0.00,0.00,0.00,0.00,0.00,0.00,5.55,47.40,54.16,18.66,23.12,0.00,0.00,0.00,0.00,1.07,0.36,7.12,0.00,0.00,0.00,0.00
TWN.North,TWNZ2,New COA_USC,AS T2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.North,TWNZ2,New COA_USC,AS T3,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TWN.South,TWNZ3,New COA_USC,Gross Output,7544.6,6782.75,6771.57,6773.53,6790.15,6790.15,6790.15,6790.15,6790.15,6737.20,6713.23,6709.81,6760.16,6771.17,6790.15,6790.15,6772.61,6722.94,6695.91,6691.19,6743.86,6757.52,6790.15,6790.15,6790.15,6735.61,6711.67,6708.28,6756.00,6769.11,6790.15,6789.73,6790.15
TWN.South,TWNZ3,New COA_USC,Net Output, ,6307.96,6297.56,6299.39,6314.84,6314.84,6314.84,6314.84,6314.84,6265.59,6243.30,6240.12,6286.94,6297.19,6314.84,6314.84,6298.53,6252.33,6227.19,6222.81,6271.79,6284.49,6314.84,6314.84,6314.84,6264.12,6241.86,6238.70,6283.08,6295.28,6314.84,6314.45,6314.84
TWN.South,TWNZ3,New COA_USC,AS T1,,7.40,18.59,16.62,0.00,0.00,0.00,0.00,0.00,52.95,76.92,80.34,30.00,18.98,0.00,0.00,17.54,67.21,94.25,98.96,46.29,32.64,0.00,0.00,0.00,54.54,78.48,81.87,34.16,21.04,0.00,0.42,0.00
