Zone code,Zone ID,Technology,Item,2015,2020,2025,2030,2035,2040,2045,2050
TWN.South,TWNZ3,COA_SC,Net Output (GWh),46924,46855,42100,0,0,0,0,0
TWN.South,TWNZ3,COA_USC,Gross Output (GWh),0,0,16877,75154,83952,100876,80607,71613
TWN.South,TWNZ3,COA_USC,Net Output (GWh),0,0,15695,69893,78075,93815,74965,66601
TWN.South,TWNZ3,COA_IGCC,Gross Output (GWh),0,0,0,0,0,0,23990,41606
TWN.South,TWNZ3,COA_IGCC,Net Output (GWh),0,0,0,0,0,0,22311,38694
TWN.South,TWNZ3,COA_SC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_SC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_OXY_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_OXY_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_IGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,COA_IGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_OCGT,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_OCGT,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_CCGT,Gross Output (GWh),12146,10796,2230,1487,462,0,0,0
TWN.South,TWNZ3,GAS_CCGT,Net Output (GWh),11296,10040,2074,1383,430,0,0,0
TWN.South,TWNZ3,GAS_CC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,GAS_CC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,OIL_ST,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,OIL_ST,Net Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,NUK_LWR,Gross Output (GWh),14995,14995,0,0,0,0,0,0
TWN.South,TWNZ3,NUK_LWR,Net Output (GWh),14096,14096,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_LG,Hydropower Output (GWh),688,1176,1176,1176,1176,1176,4686,4246
TWN.South,TWNZ3,HYD_SM,Hydropower Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_PS,Storage Input (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,HYD_PS,Storage Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BIO_ST,Gross Output (GWh),376,168,657,577,680,0,0,0
TWN.South,TWNZ3,BIO_ST,Net Output (GWh),350,156,611,537,632,0,0,0
TWN.South,TWNZ3,BIGCC_CCS,Gross Output (GWh),0,0,0,0,0,0,0,0
TWN.South,TWNZ3,BIGCC_CCS,Net Output (GWh),0,0,0,0,0,0,0,0
