Zone code,Zone ID,ProcessName,CF_Class,2015,2020,2025,2030
TWN.Central,TWNZ0,COA_SUB,0,2417,2417,2417,1856
TWN.Central,TWNZ0,COA_SC,0,5500,5500,5500,5500
TWN.Central,TWNZ0,COA_USC,0,0,0,0,100
TWN.Central,TWNZ0,COA_IGCC,0,0,0,0,0
TWN.Central,TWNZ0,COA_SC_CCS,0,0,0,0,0
TWN.Central,TWNZ0,COA_OXY_CCS,0,0,0,0,0
TWN.Central,TWNZ0,COA_IGCC_CCS,0,0,0,0,0
TWN.Central,TWNZ0,GAS_OCGT,0,2407,2407,2407,2407
TWN.Central,TWNZ0,GAS_CCGT,0,2563,2563,490,490
TWN.Central,TWNZ0,GAS_CC_CCS,0,0,0,0,0
TWN.Central,TWNZ0,OIL_ST,0,284,284,284,0
TWN.Central,TWNZ0,NUK_LWR,0,0,0,0,0
TWN.Central,TWNZ0,HYD_LG,0,1680,2546,2546,2546
TWN.Central,TWNZ0,HYD_SM,0,10,10,10,10
TWN.Central,TWNZ0,HYD_PS,0,2600,2600,2600,2600
TWN.Central,TWNZ0,WND_ON,1,457,457,457,457
TWN.Central,TWNZ0,WND_ON,2,0,0,0,387
TWN.Central,TWNZ0,WND_ON,3,0,232,232,232
TWN.Central,TWNZ0,WND_ON,4,0,244,244,244
TWN.Central,TWNZ0,WND_ON,5,0,101,101,101
TWN.Central,TWNZ0,PV_FT,3,0,0,2467,2467
TWN.Central,TWNZ0,PV_FT,4,178,178,355,355
TWN.Central,TWNZ0,PV_TK,3,0,0,437,437
TWN.Central,TWNZ0,PV_TK,4,0,0,2389,2389
TWN.Central,TWNZ0,PV_Dist,0,0,0,0,2249
TWN.Central,TWNZ0,GEO_hydro,0,0,60,60,60
TWN.Central,TWNZ0,BIO_ST,0,87,87,87,87
TWN.Central,TWNZ0,BIGCC_CCS,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST1,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST4,0,0,0,0,0
TWN.Central,TWNZ0,BESS_ST8,0,0,0,0,0
TWN.East,TWNZ1,COA_SUB,0,435,435,435,334
TWN.East,TWNZ1,COA_SC,0,0,0,0,0
TWN.East,TWNZ1,COA_USC,0,0,0,100,200
TWN.East,TWNZ1,COA_IGCC,0,0,0,0,0
TWN.East,TWNZ1,COA_SC_CCS,0,0,0,0,0
TWN.East,TWNZ1,COA_OXY_CCS,0,0,0,0,0
TWN.East,TWNZ1,COA_IGCC_CCS,0,0,0,0,0
TWN.East,TWNZ1,GAS_OCGT,0,434,434,434,434
TWN.East,TWNZ1,GAS_CCGT,0,0,0,0,0
TWN.East,TWNZ1,GAS_CC_CCS,0,0,0,0,0
TWN.East,TWNZ1,OIL_ST,0,51,51,51,51
TWN.East,TWNZ1,NUK_LWR,0,0,0,0,0
TWN.East,TWNZ1,HYD_LG,0,0,756,756,756
TWN.East,TWNZ1,HYD_SM,0,20,20,20,20
TWN.East,TWNZ1,HYD_PS,0,0,0,0,0
TWN.East,TWNZ1,WND_ON,1,0,0,0,0
TWN.East,TWNZ1,WND_ON,2,0,0,0,278
TWN.East,TWNZ1,WND_ON,3,0,0,142,142
TWN.East,TWNZ1,WND_ON,4,0,81,81,81
TWN.East,TWNZ1,WND_ON,5,0,58,58,58
TWN.East,TWNZ1,WND_ON,6,0,80,80,80
TWN.East,TWNZ1,PV_FT,3,32,32,32,2012
TWN.East,TWNZ1,PV_TK,2,0,0,0,0
TWN.East,TWNZ1,PV_TK,3,0,0,0,2289
TWN.East,TWNZ1,PV_Dist,0,0,0,0,0
TWN.East,TWNZ1,GEO_hydro,0,0,50,50,50
TWN.East,TWNZ1,BIO_ST,0,16,16,16,16
TWN.East,TWNZ1,BIGCC_CCS,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST1,0,0,0,59,109
TWN.East,TWNZ1,BESS_ST4,0,0,0,0,0
TWN.East,TWNZ1,BESS_ST8,0,0,0,0,0
TWN.North,TWNZ2,COA_SUB,0,5291,5291,5291,4062
TWN.North,TWNZ2,COA_SC,0,0,0,0,0
TWN.North,TWNZ2,COA_USC,0,0,0,9658,14267
TWN.North,TWNZ2,COA_IGCC,0,0,0,0,0
TWN.North,TWNZ2,COA_SC_CCS,0,0,0,0,0
TWN.North,TWNZ2,COA_OXY_CCS,0,0,0,0,0
TWN.North,TWNZ2,COA_IGCC_CCS,0,0,0,0,0
TWN.North,TWNZ2,GAS_OCGT,0,5268,5268,5268,5268
TWN.North,TWNZ2,GAS_CCGT,0,4680,4680,4680,4680
TWN.North,TWNZ2,GAS_CC_CCS,0,0,0,0,0
TWN.North,TWNZ2,OIL_ST,0,2621,2621,2621,0
TWN.North,TWNZ2,NUK_LWR,0,3312,3312,0,0
TWN.North,TWNZ2,HYD_LG,0,200,504,504,504
TWN.North,TWNZ2,HYD_SM,0,0,0,0,0
TWN.North,TWNZ2,HYD_PS,0,0,0,0,0
TWN.North,TWNZ2,WND_ON,1,0,0,0,0
TWN.North,TWNZ2,WND_ON,2,0,0,254,254
TWN.North,TWNZ2,WND_ON,3,0,239,239,239
TWN.North,TWNZ2,WND_ON,4,0,243,243,243
TWN.North,TWNZ2,WND_ON,5,0,302,302,302
TWN.North,TWNZ2,WND_ON,6,122,326,326,326
TWN.North,TWNZ2,PV_FT,3,390,390,842,842
TWN.North,TWNZ2,PV_TK,2,0,0,0,251
TWN.North,TWNZ2,PV_TK,3,0,0,0,949
TWN.North,TWNZ2,PV_Dist,0,0,0,0,0
TWN.North,TWNZ2,BIO_ST,0,191,191,191,191
TWN.North,TWNZ2,BIGCC_CCS,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST1,0,0,50,253,527
TWN.North,TWNZ2,BESS_ST4,0,0,0,0,0
TWN.North,TWNZ2,BESS_ST8,0,0,0,0,0
TWN.South,TWNZ3,COA_SUB,0,3287,3287,3287,2523
TWN.South,TWNZ3,COA_SC,0,6400,6400,6400,0
TWN.South,TWNZ3,COA_USC,0,0,0,2145,9690
TWN.South,TWNZ3,COA_IGCC,0,0,0,0,0
TWN.South,TWNZ3,COA_SC_CCS,0,0,0,0,0
TWN.South,TWNZ3,COA_OXY_CCS,0,0,0,0,0
TWN.South,TWNZ3,COA_IGCC_CCS,0,0,0,0,0
TWN.South,TWNZ3,GAS_OCGT,0,3273,3273,3273,3273
TWN.South,TWNZ3,GAS_CCGT,0,4430,4430,1220,1220
TWN.South,TWNZ3,GAS_CC_CCS,0,0,0,0,0
TWN.South,TWNZ3,OIL_ST,0,386,386,386,0
TWN.South,TWNZ3,NUK_LWR,0,1902,1902,0,0
TWN.South,TWNZ3,HYD_LG,0,200,342,342,342
TWN.South,TWNZ3,HYD_SM,0,0,0,0,0
TWN.South,TWNZ3,HYD_PS,0,0,0,0,0
TWN.South,TWNZ3,WND_ON,1,0,0,0,0
TWN.South,TWNZ3,WND_ON,2,0,0,0,117
TWN.South,TWNZ3,WND_ON,3,0,0,73,73
TWN.South,TWNZ3,WND_ON,4,0,50,50,50
TWN.South,TWNZ3,WND_ON,6,67,117,117,117
TWN.South,TWNZ3,WND_ON,7,0,60,60,60
TWN.South,TWNZ3,WND_ON,9,0,62,62,62
TWN.South,TWNZ3,PV_FT,4,242,2018,4074,4074
TWN.South,TWNZ3,PV_TK,4,0,0,6176,6176
TWN.South,TWNZ3,PV_Dist,0,0,0,0,2903
TWN.South,TWNZ3,GEO_hydro,0,0,90,90,90
